meter;         _m;    1,  0,  0,  0,  0,  0,  0; 1,1
square_meter;  _m²;   2,  0,  0,  0,  0,  0,  0; 1,1
kilogramm;     _kg;   0,  1,  0,  0,  0,  0,  0; 1,1
gramm;         _g;    0,  1,  0,  0,  0,  0,  0; 1,1000
sekunde;       _s;    0,  0,  1,  0,  0,  0,  0; 1,1
minute;        _min;  0,  0,  1,  0,  0,  0,  0; 60,1
hour;          _h;    0,  0,  1,  0,  0,  0,  0; 3600,1
ampere;        _A;    0,  0,  0,  1,  0,  0,  0; 1,1
kelvin;        _K;    0,  0,  0,  0,  1,  0,  0; 1,1
mol;           _mol;  0,  0,  0,  0,  0,  1,  0; 1,1
candela;       _cd;   0,  0,  0,  0,  0,  0,  1; 1,1
newton;        _N;    1,  1, -2,  0,  0,  0,  0; 1,1
joule;         _J;    2,  1, -2,  0,  0,  0,  0; 1,1
watt;          _W;    2,  1, -3,  0,  0,  0,  0; 1,1
hertz;         _Hz;   0,  0, -1,  0,  0,  0,  0; 1,1
